BaseFreq,RunFreq,AdjFreq,I,P,Var1,Var2,Var3,Var4,Var5
1900,1900,0,315,414,413,16,23,23,0,
1900,1900,0,293,385,388,17,23,23,0,
1900,1900,0,277,361,361,18,23,23,0,
1900,1900,0,224,296,298,19,23,23,0,
1900,1900,0,156,189,190,20,23,23,0,
1900,1900,0,120,53,54,21,23,23,0,
1900,1900,0,127,-21,-21,22,23,23,0,
1900,1900,0,153,-72,-72,0,23,23,0,
1900,1900,0,172,-111,-111,1,23,23,0,
1900,1900,0,163,-113,-110,2,23,23,0,
1900,1900,0,130,-71,-49,3,23,23,0,
1900,1900,0,130,-71,-49,3,23,23,0,
1900,1900,0,172,85,187,4,23,23,0,
1900,1900,0,358,382,399,5,23,23,0,
1900,1900,0,278,380,403,6,23,23,0,
1900,1900,0,240,311,300,7,23,23,0,
1900,1900,0,157,194,196,8,23,23,0,
1900,1900,0,120,74,74,9,23,23,0,
1900,1900,0,124,-6,-7,10,23,23,0,
1900,1900,0,121,18,15,11,23,23,0,
1900,1900,0,260,214,211,12,23,23,0,
1900,1900,0,357,414,411,13,23,23,0,
1900,1900,0,337,440,439,14,23,23,0,
1900,1900,0,329,436,436,15,23,23,0,
1900,1900,0,317,415,414,16,23,23,0,
1900,1900,0,296,387,385,17,23,23,0,
1900,1900,0,278,362,361,18,23,23,0,
1900,1900,0,226,298,296,19,23,23,0,
1900,1900,0,158,192,189,20,23,23,0,
1900,1900,0,119,54,53,21,23,23,0,
1900,1900,0,119,54,53,21,23,23,0,
1900,1900,0,127,-21,-21,22,23,23,0,
1900,1900,0,152,-71,-72,0,23,23,0,
1900,1900,0,170,-110,-111,1,23,23,0,
1900,1900,0,155,-105,-113,2,23,23,0,
1900,1900,0,116,-26,-71,3,23,23,0,
1900,1900,0,313,260,85,4,23,23,0,
1900,1900,0,360,433,382,5,23,23,0,
1900,1900,0,283,395,380,6,23,23,0,
1900,1900,0,230,305,311,7,23,23,0,
1900,1900,0,164,199,194,8,23,23,0,
1900,1900,0,121,76,74,9,23,23,0,
1900,1900,0,122,-5,-6,10,23,23,0,
1900,1900,0,120,17,18,11,23,23,0,
1900,1900,0,259,212,214,12,23,23,0,
1900,1900,0,353,412,414,13,23,23,0,
1900,1900,0,336,438,440,14,23,23,0,
1900,1900,0,328,435,436,15,23,23,0,
1900,1900,0,313,412,415,16,23,23,0,
1900,1900,0,313,412,415,16,23,23,0,
1900,1900,0,293,385,387,17,23,23,0,
1900,1900,0,277,360,362,18,23,23,0,
1900,1900,0,225,298,298,19,23,23,0,
1900,1900,0,158,191,192,20,23,23,0,
1900,1900,0,120,56,54,21,23,23,0,
1900,1900,0,127,-20,-21,22,23,23,0,
1900,1900,0,152,-71,-71,0,23,23,0,
1900,1900,0,172,-111,-110,1,23,23,0,
1900,1900,0,162,-114,-105,2,23,23,0,
1900,1900,0,131,-73,-26,3,23,23,0,
1900,1900,0,168,79,260,4,23,23,0,
1900,1900,0,376,388,433,5,23,23,0,
1900,1900,0,273,380,395,6,23,23,0,
1900,1900,0,243,312,305,7,23,23,0,
1900,1900,0,158,196,199,8,23,23,0,
1900,1900,0,120,76,76,9,23,23,0,
1900,1900,0,124,-6,-5,10,23,23,0,
1900,1900,0,120,15,17,11,23,23,0,
1900,1900,0,255,207,212,12,23,23,0,
1900,1900,0,255,207,212,12,23,23,0,
1900,1900,0,353,409,412,13,23,23,0,
1900,1900,0,337,441,438,14,23,23,0,
1900,1900,0,329,436,435,15,23,23,0,
1900,1900,0,314,412,412,16,23,23,0,
1900,1900,0,294,385,385,17,23,23,0,
1900,1900,0,276,360,360,18,23,23,0,
1900,1900,0,226,298,298,19,23,23,0,
1900,1900,0,159,192,191,20,23,23,0,
